order_id,order_date,region,customer_segment,product_category,product_name,quantity,unit_price,discount,revenue
ORD-00191,2024-01-02,North,Small Business,Furniture,Office Chair,3,120.0,0.0,360.0
ORD-00217,2024-01-02,South,Consumer,Electronics,Wireless Mouse,5,18.0,0.0,90.0
ORD-00234,2024-01-02,East,Consumer,Apparel,T-Shirt,4,15.0,0.1,54.0
ORD-00399,2024-01-03,East,Corporate,Office Supplies,Sticky Notes,6,3.5,0.1,18.9
ORD-00136,2024-01-06,North,Small Business,Office Supplies,Desk Organizer,7,12.0,0.05,79.8
ORD-00103,2024-01-06,North,Small Business,Apparel,T-Shirt,5,15.0,0.0,75.0
ORD-00505,2024-01-07,North,Consumer,Office Supplies,Printer Paper,7,8.0,0.0,56.0
ORD-00442,2024-01-09,East,Consumer,Office Supplies,Sticky Notes,1,3.5,0.1,3.15
ORD-00119,2024-01-09,East,Small Business,Electronics,Bluetooth Speaker,4,45.0,0.0,180.0
ORD-00309,2024-01-09,North,Consumer,Office Supplies,Printer Paper,7,8.0,0.0,56.0
ORD-00486,2024-01-10,East,Consumer,Electronics,Keyboard,4,40.0,0.0,160.0
ORD-00537,2024-01-11,West,Consumer,Office Supplies,Desk Organizer,4,12.0,0.0,48.0
ORD-00458,2024-01-12,East,Consumer,Furniture,Filing Cabinet,7,140.0,0.0,980.0
ORD-00320,2024-01-13,East,Small Business,Apparel,Socks Pack,4,8.0,0.0,32.0
ORD-00545,2024-01-14,North,Consumer,Apparel,Hoodie,2,35.0,0.0,70.0
ORD-00240,2024-01-15,West,Consumer,Furniture,Desk Lamp,7,22.0,0.05,146.3
ORD-00013,2024-01-17,East,Consumer,Furniture,Filing Cabinet,4,140.0,0.15,476.0
ORD-00363,2024-01-17,East,Consumer,Electronics,Keyboard,2,40.0,0.0,80.0
ORD-00338,2024-01-19,South,Corporate,Office Supplies,Notebook Pack,1,6.5,0.0,6.5
ORD-00464,2024-01-19,East,Consumer,Office Supplies,Desk Organizer,4,12.0,0.0,48.0
ORD-00357,2024-01-21,East,Corporate,Electronics,USB-C Hub,7,32.0,0.1,201.6
ORD-00452,2024-01-21,South,Consumer,Apparel,Hoodie,1,35.0,0.1,31.5
ORD-00189,2024-01-22,West,Consumer,Electronics,USB-C Hub,7,32.0,0.0,224.0
ORD-00509,2024-01-22,East,Corporate,Office Supplies,Sticky Notes,2,3.5,0.15,5.95
ORD-00113,2024-01-22,West,Small Business,Furniture,Filing Cabinet,6,140.0,0.0,840.0
ORD-00184,2024-01-22,West,Corporate,Furniture,Office Chair,7,120.0,0.1,756.0
ORD-00533,2024-01-23,East,Small Business,Electronics,Webcam,5,55.0,0.0,275.0
ORD-00501,2024-01-23,North,Consumer,Electronics,USB-C Hub,2,32.0,0.0,64.0
ORD-00561,2024-01-25,South,Corporate,Furniture,Bookshelf,3,95.0,0.1,256.5
ORD-00411,2024-01-26,South,Consumer,Electronics,Bluetooth Speaker,6,45.0,0.0,270.0
ORD-00070,2024-01-26,North,Consumer,Office Supplies,Notebook Pack,1,6.5,0.0,6.5
ORD-00155,2024-01-26,North,Small Business,Office Supplies,Stapler,2,5.0,0.0,10.0
ORD-00277,2024-01-27,East,Small Business,Office Supplies,Stapler,4,5.0,0.0,20.0
ORD-00532,2024-01-27,West,Consumer,Electronics,Webcam,7,55.0,0.05,365.75
ORD-00335,2024-01-27,North,Corporate,Office Supplies,Stapler,6,5.0,0.0,30.0
ORD-00536,2024-01-28,West,Consumer,Electronics,Wireless Mouse,6,18.0,0.2,86.4
ORD-00580,2024-01-29,South,Consumer,Electronics,Wireless Mouse,5,18.0,0.0,90.0
ORD-00134,2024-01-30,West,Small Business,Furniture,Filing Cabinet,6,140.0,0.15,714.0
ORD-00321,2024-02-01,West,Consumer,Office Supplies,Sticky Notes,7,3.5,0.0,24.5
ORD-00281,2024-02-01,West,Corporate,Office Supplies,Notebook Pack,2,6.5,0.1,11.7
ORD-00543,2024-02-01,North,Corporate,Electronics,Keyboard,4,40.0,0.0,160.0
ORD-00248,2024-02-02,South,Corporate,Office Supplies,Notebook Pack,7,6.5,0.1,40.95
ORD-00535,2024-02-02,West,Consumer,Furniture,Filing Cabinet,7,140.0,0.0,980.0
ORD-00528,2024-02-02,North,Consumer,Electronics,Webcam,4,55.0,0.0,220.0
ORD-00414,2024-02-04,South,Consumer,Electronics,Bluetooth Speaker,5,45.0,0.0,225.0
ORD-00419,2024-02-05,North,Consumer,Office Supplies,Notebook Pack,1,6.5,0.1,5.85
ORD-00284,2024-02-05,South,Consumer,Office Supplies,Notebook Pack,1,6.5,0.0,6.5
ORD-00035,2024-02-06,West,Consumer,Apparel,T-Shirt,5,15.0,0.1,67.5
ORD-00343,2024-02-06,West,Consumer,Furniture,Desk Lamp,1,22.0,0.0,22.0
ORD-00497,2024-02-07,East,Consumer,Electronics,Keyboard,4,40.0,0.05,152.0
ORD-00353,2024-02-08,East,Corporate,Office Supplies,Desk Organizer,4,12.0,0.0,48.0
ORD-00150,2024-02-09,West,Consumer,Electronics,Wireless Mouse,5,18.0,0.0,90.0
ORD-00077,2024-02-09,South,Consumer,Office Supplies,Stapler,5,5.0,0.0,25.0
ORD-00491,2024-02-09,East,Corporate,Apparel,Cap,6,10.0,0.15,51.0
ORD-00034,2024-02-10,West,Small Business,Furniture,Standing Desk,6,260.0,0.1,1404.0
ORD-00591,2024-02-10,South,Small Business,Apparel,Cap,5,10.0,0.0,50.0
ORD-00027,2024-02-11,West,Consumer,Office Supplies,Printer Paper,1,8.0,0.0,8.0
ORD-00530,2024-02-13,South,Consumer,Apparel,Socks Pack,1,8.0,0.0,8.0
ORD-00370,2024-02-13,East,Consumer,Apparel,T-Shirt,7,15.0,0.0,105.0
ORD-00305,2024-02-13,West,Corporate,Furniture,Bookshelf,5,95.0,0.0,475.0
ORD-00161,2024-02-13,North,Corporate,Apparel,T-Shirt,1,15.0,0.2,12.0
ORD-00349,2024-02-14,West,Corporate,Electronics,Keyboard,4,40.0,0.15,136.0
ORD-00499,2024-02-14,West,Small Business,Apparel,T-Shirt,3,15.0,0.05,42.75
ORD-00165,2024-02-16,South,Corporate,Office Supplies,Printer Paper,4,8.0,0.0,32.0
ORD-00064,2024-02-16,West,Consumer,Apparel,Hoodie,6,35.0,0.0,210.0
ORD-00348,2024-02-16,South,Consumer,Apparel,T-Shirt,6,15.0,0.0,90.0
ORD-00513,2024-02-16,North,Consumer,Apparel,T-Shirt,7,15.0,0.1,94.5
ORD-00102,2024-02-17,North,Small Business,Electronics,Webcam,3,55.0,0.0,165.0
ORD-00287,2024-02-17,North,Small Business,Electronics,Wireless Mouse,2,18.0,0.0,36.0
ORD-00022,2024-02-17,North,Consumer,Office Supplies,Stapler,4,5.0,0.1,18.0
ORD-00527,2024-02-18,North,Corporate,Apparel,Jacket,7,60.0,0.0,420.0
ORD-00538,2024-02-18,South,Consumer,Electronics,Bluetooth Speaker,1,45.0,0.05,42.75
ORD-00269,2024-02-19,North,Consumer,Furniture,Bookshelf,6,95.0,0.1,513.0
ORD-00308,2024-02-19,West,Consumer,Furniture,Office Chair,4,120.0,0.0,480.0
ORD-00514,2024-02-21,West,Corporate,Apparel,Hoodie,6,35.0,0.15,178.5
ORD-00204,2024-02-21,North,Consumer,Furniture,Desk Lamp,3,22.0,0.1,59.4
ORD-00249,2024-02-21,East,Consumer,Apparel,Jacket,6,60.0,0.0,360.0
ORD-00058,2024-02-23,West,Consumer,Electronics,Webcam,4,55.0,0.05,209.0
ORD-00069,2024-02-24,South,Consumer,Electronics,Keyboard,7,40.0,0.05,266.0
ORD-00038,2024-02-26,South,Corporate,Apparel,Hoodie,1,35.0,0.0,35.0
ORD-00568,2024-02-26,North,Consumer,Electronics,Bluetooth Speaker,4,45.0,0.0,180.0
ORD-00403,2024-02-27,North,Small Business,Office Supplies,Stapler,6,5.0,0.1,27.0
ORD-00253,2024-02-27,North,Consumer,Electronics,Keyboard,1,40.0,0.0,40.0
ORD-00365,2024-02-28,North,Consumer,Electronics,Keyboard,4,40.0,0.05,152.0
ORD-00163,2024-02-28,East,Consumer,Office Supplies,Sticky Notes,3,3.5,0.0,10.5
ORD-00351,2024-02-28,South,Corporate,Furniture,Office Chair,2,120.0,0.0,240.0
ORD-00327,2024-02-28,East,Consumer,Electronics,USB-C Hub,3,32.0,0.0,96.0
ORD-00322,2024-02-29,East,Consumer,Electronics,USB-C Hub,5,32.0,0.0,160.0
ORD-00271,2024-03-01,North,Consumer,Office Supplies,Stapler,7,5.0,0.0,35.0
ORD-00562,2024-03-02,South,Consumer,Electronics,USB-C Hub,3,32.0,0.05,91.2
